ID,tid,confirmed_planet
97,TIC 198212955,1
98,TIC 10221147,0
99,TIC 198213332,1
100,TIC 14948284,0
101,TIC 198241702,1
102,TIC 14948518,0
103,TIC 233535738,1
104,TIC 14948821,0
105,TIC 233541860,1
106,TIC 18067827,0
107,TIC 198356533,1
108,TIC 18068637,0
109,TIC 198384408,1
110,TIC 18068144,0
111,TIC 233569098,1
112,TIC 18069062,0
113,TIC 198390247,1
114,TIC 18069405,0
115,TIC 233617847,1
116,TIC 18069841,0
117,TIC 233688779,1
118,TIC 18082682,0
119,TIC 18082874,0
120,TIC 233721037,1
121,TIC 18083064,0
122,TIC 233735068,1
123,TIC 18083620,0
124,TIC 198457103,1
125,TIC 18084070,0
126,TIC 235678745,1
127,TIC 18084126,0
128,TIC 235683377,1
129,TIC 18084493,0
130,TIC 199610140,1
131,TIC 18084296,0
132,TIC 165468291,1
133,TIC 18845667,0
134,TIC 165625229,1
135,TIC 18845730,0
136,TIC 237200747,1
137,TIC 18846134,0
138,TIC 199688472,1
139,TIC 18847582,0
140,TIC 237222864,1
141,TIC 18847773,0
142,TIC 165723070,1
143,TIC 18868500,0
144,TIC 237232044,1
145,TIC 18869455,0
146,TIC 207425167,1
147,TIC 18869700,0
148,TIC 165989915,1
149,TIC 18870414,0
150,TIC 166086403,1
151,TIC 18905408,0
152,TIC 258801269,1
153,TIC 18905784,0
154,TIC 258871793,1
155,TIC 18906023,0
156,TIC 207501148,1
157,TIC 18906783,0
158,TIC 258920431,1
159,TIC 18906805,0
160,TIC 259099556,1
161,TIC 18906963,0
162,TIC 259126549,1
163,TIC 18907552,0
164,TIC 259172391,1
165,TIC 18908974,0
166,TIC 264173803,1
167,TIC 18908879,0
168,TIC 288434231,1
169,TIC 18909088,0
170,TIC 202426247,1
171,TIC 18909145,0
172,TIC 18910251,0
173,TIC 332477926,1
174,TIC 18910344,0
175,TIC 219762508,1
176,TIC 18911026,0
177,TIC 219776325,1
178,TIC 219778329,1
179,TIC 18911857,0
180,TIC 359496368,1
181,TIC 18919384,0
182,TIC 377191482,1
183,TIC 18919598,0
184,TIC 377290815,1
185,TIC 18919619,0
186,TIC 377293776,1
187,TIC 165987272,1
188,TIC 180672438,1
189,TIC 21572527,0
190,TIC 180695581,1
191,TIC 21572851,0
192,TIC 376645976,1
193,TIC 320208949,1
194,TIC 416542079,1
195,TIC 406926040,1
196,TIC 356867115,1
197,TIC 357048995,1
198,TIC 21598128,0
199,TIC 21598259,0
200,TIC 420112217,1
201,TIC 420112587,1
202,TIC 21598647,0
203,TIC 420114036,1
204,TIC 21599042,0
205,TIC 21599167,0
206,TIC 224313733,1
207,TIC 21623401,0
208,TIC 230064711,1
209,TIC 232540264,1
210,TIC 232976128,1
211,TIC 233182695,1
212,TIC 233188747,1
213,TIC 21624512,0
214,TIC 272635712,1
215,TIC 272679240,1
216,TIC 283829553,1
217,TIC 298164705,1
218,TIC 21625101,0
219,TIC 307734817,1
220,TIC 22954399,0
221,TIC 310994622,1
222,TIC 23708714,0
223,TIC 219850915,1
224,TIC 219852584,1
225,TIC 23739034,0
226,TIC 219852882,1
227,TIC 23739096,0
228,TIC 219854185,1
229,TIC 23740786,0
230,TIC 219857012,1
231,TIC 23740907,0
232,TIC 219860288,1
233,TIC 23741097,0
234,TIC 23747667,0
235,TIC 219875976,1
236,TIC 23747845,0
237,TIC 219879302,1
238,TIC 23753424,0
239,TIC 224596152,1
240,TIC 23753352,0
241,TIC 224600500,1
242,TIC 23753723,0
243,TIC 23769313,0
244,TIC 229586455,1
245,TIC 23769401,0
246,TIC 229650439,1
247,TIC 23769836,0
248,TIC 232608943,1
249,TIC 23771201,0
250,TIC 232612416,1
251,TIC 23772077,0
252,TIC 232982938,1
253,TIC 23792657,0
254,TIC 233009109,1
255,TIC 23792729,0
256,TIC 416195870,1
257,TIC 23793707,0
258,TIC 417948359,1
259,TIC 23793887,0
260,TIC 347329162,1
261,TIC 23794801,0
262,TIC 233497719,1
263,TIC 23794814,0
264,TIC 233500935,1
265,TIC 39174351,0
266,TIC 233681149,1
267,TIC 39174645,0
268,TIC 236714379,1
269,TIC 39175436,0
270,TIC 237099296,1
271,TIC 39175455,0
272,TIC 237101326,1
273,TIC 39175670,0
274,TIC 237108272,1
275,TIC 39175676,0
276,TIC 272758199,1
277,TIC 284900292,1
278,TIC 287080092,1
279,TIC 287152495,1
280,TIC 39176261,0
281,TIC 307956397,1
282,TIC 39176368,0
283,TIC 307958020,1
284,TIC 356016119,1
285,TIC 39177302,0
286,TIC 356822426,1
287,TIC 362103298,1
288,TIC 39198009,0
289,TIC 367855829,1
290,TIC 47624788,0
291,TIC 424388628,1
292,TIC 47755867,0
293,TIC 441732151,1
294,TIC 47756052,0
295,TIC 441738827,1
296,TIC 47875421,0
297,TIC 47818060,0
298,TIC 441797803,1
299,TIC 47876083,0
300,TIC 441798995,1
301,TIC 47933204,0
302,TIC 48022676,0
303,TIC 23815847,1
304,TIC 48087951,0
305,TIC 144401492,1
306,TIC 48088075,0
307,TIC 48021750,0
308,TIC 165464482,1
309,TIC 48194292,0
310,TIC 198108326,1
311,TIC 48194330,0
312,TIC 219824469,1
313,TIC 48194364,0
314,TIC 383531543,1
315,TIC 48221666,0
316,TIC 393831507,1
317,TIC 48309786,0
318,TIC 459215281,1
319,TIC 48349547,0
320,TIC 48357756,0
321,TIC 356978132,1
322,TIC 48424655,0
323,TIC 165554103,1
324,TIC 48424839,0
325,TIC 48445689,0
326,TIC 48445693,0
327,TIC 378976682,1
328,TIC 48499902,0
329,TIC 229618478,1
330,TIC 48500352,0
331,TIC 229747848,1
332,TIC 48530426,0
333,TIC 229938290,1
334,TIC 48531084,0
335,TIC 230375747,1
336,TIC 77038207,0
337,TIC 230386397,1
338,TIC 77042897,0
339,TIC 233576159,1
340,TIC 233602827,1
341,TIC 77114779,0
342,TIC 237201858,1
343,TIC 82346322,0
344,TIC 237211410,1
345,TIC 82346381,0
346,TIC 88720736,0
347,TIC 258777137,1
348,TIC 99302717,0
349,TIC 99303810,0
350,TIC 288636342,1
351,TIC 99329465,0
352,TIC 288735205,1
353,TIC 298663873,1
354,TIC 99331330,0
355,TIC 99381817,0
356,TIC 424391516,1
357,TIC 99390020,0
358,TIC 219728669,1
359,TIC 105511123,0
360,TIC 288471040,1
361,TIC 105511179,0
362,TIC 105511333,0
363,TIC 233059608,1
364,TIC 105511334,0
365,TIC 450337675,1
366,TIC 105511759,0
367,TIC 115890408,0
368,TIC 115892089,0
369,TIC 138957924,0
370,TIC 310094771,1
371,TIC 341815767,1
372,TIC 138973662,0
373,TIC 142387023,1
374,TIC 138973559,0
375,TIC 230088370,1
376,TIC 138974004,0
377,TIC 230127302,1
378,TIC 138974892,0
379,TIC 356700488,1
380,TIC 155898758,1
381,TIC 138975200,0
382,TIC 198153540,1
383,TIC 138975768,0
384,TIC 198162530,1
385,TIC 138976047,0
386,TIC 198186769,1
387,TIC 138976230,0
388,TIC 138976344,0
389,TIC 229608594,1
390,TIC 138976435,0
391,TIC 219041246,1
392,TIC 138976580,0
393,TIC 233462817,1
394,TIC 139070398,0
395,TIC 286923464,1
396,TIC 139070418,0
397,TIC 355895977,1
398,TIC 139088106,0
399,TIC 233503636,1
400,TIC 139111299,0
401,TIC 272782368,1
402,TIC 139116822,0
403,TIC 139116996,0
404,TIC 289580577,1
405,TIC 139117020,0
406,TIC 357416482,1
407,TIC 139117032,0
408,TIC 367753709,1
409,TIC 376847633,1
410,TIC 139117381,0
411,TIC 406855039,1
412,TIC 139117507,0
413,TIC 441739871,1
414,TIC 139118592,0
415,TIC 20182165,1
416,TIC 139119486,0
417,TIC 20203297,1
418,TIC 139119521,0
419,TIC 162689341,1
420,TIC 139119669,0
421,TIC 207468071,1
422,TIC 139123342,0
423,TIC 230075120,1
424,TIC 139124467,0
425,TIC 230075227,1
426,TIC 141149509,0
427,TIC 230084146,1
428,TIC 141150071,0
429,TIC 230086768,1
430,TIC 141150039,0
431,TIC 230087585,1
432,TIC 393965778,1
433,TIC 141160286,0
434,TIC 441642457,1
435,TIC 141160407,0
436,TIC 233684293,1
437,TIC 141177177,0
438,TIC 235905185,1
439,TIC 141177333,0
440,TIC 159873822,1
441,TIC 141177347,0
442,TIC 141177386,0
443,TIC 162631539,1
444,TIC 141177521,0
445,TIC 165763244,1
446,TIC 141177770,0
447,TIC 188768068,1
448,TIC 141179247,0
449,TIC 288516853,1
450,TIC 141179495,0
451,TIC 219485050,1
452,TIC 141201605,0
453,TIC 289590465,1
454,TIC 141201800,0
455,TIC 16884216,1
456,TIC 141201880,0
457,TIC 394029948,1
458,TIC 141201954,0
459,TIC 405559035,1
460,TIC 141277520,0
461,TIC 420112589,1
462,TIC 141277541,0
463,TIC 441739020,1
464,TIC 20182780,1
465,TIC 115583726,1
466,TIC 115623434,1
467,TIC 138294130,1
468,TIC 148682893,0
469,TIC 188668950,1
470,TIC 149494454,0
471,TIC 29385858,1
472,TIC 149495070,0
473,TIC 467179528,1
474,TIC 149496548,0
475,TIC 198385543,1
476,TIC 149497015,0
477,TIC 149505663,0
478,TIC 149505899,0
479,TIC 149506002,0
480,TIC 230017324,1
481,TIC 149506100,0
482,TIC 149506301,0
483,TIC 149507675,0
484,TIC 149508202,0
485,TIC 116483514,1
486,TIC 149565040,0
487,TIC 116483734,1
488,TIC 149566589,0
489,TIC 233071926,1
490,TIC 149566871,0
491,TIC 233078665,1
492,TIC 149577535,0
493,TIC 233087860,1
494,TIC 150318379,0
495,TIC 236887394,1
496,TIC 150343417,0
497,TIC 236934937,1
498,TIC 150362187,0
499,TIC 256867493,1
500,TIC 150362481,0
501,TIC 258510872,1
502,TIC 150386094,0
503,TIC 259168516,1
504,TIC 150385968,0
505,TIC 264171144,1
506,TIC 150386137,0
507,TIC 270515566,1
508,TIC 279982557,1
509,TIC 150388753,0
510,TIC 280031353,1
511,TIC 150388948,0
512,TIC 154221393,0
513,TIC 298600443,1
514,TIC 154223690,0
515,TIC 298647682,1
516,TIC 154223668,0
517,TIC 298666530,1
518,TIC 154223987,0
519,TIC 155871645,0
520,TIC 156380626,0
521,TIC 137157546,1
522,TIC 142090065,1
523,TIC 142117976,1
524,TIC 159418353,1
525,TIC 353782445,1
526,TIC 159510109,1
527,TIC 160077104,1
528,TIC 160162987,1
529,TIC 160223936,1
530,TIC 235902467,1
531,TIC 156422395,0
532,TIC 235937532,1
533,TIC 156422474,0
534,TIC 356919658,1
535,TIC 156422816,0
536,TIC 156422824,0
537,TIC 237235093,1
538,TIC 156422836,0
539,TIC 357501308,1
540,TIC 156423509,0
541,TIC 359388309,1
542,TIC 156423603,0
543,TIC 27194429,1
544,TIC 156423851,0
545,TIC 156423894,0
546,TIC 233720539,1
547,TIC 156423908,0
548,TIC 328934980,1
549,TIC 10507330,1
550,TIC 156513671,0
551,TIC 11996814,1
552,TIC 156514287,0
553,TIC 85429139,1
554,TIC 156514331,0
555,TIC 156514341,0
556,TIC 156514449,0
557,TIC 156514806,0
558,TIC 288391628,1
559,TIC 288631580,1
560,TIC 288636599,1
561,TIC 160010717,0
562,TIC 310002617,1
563,TIC 160010638,0
564,TIC 317507345,1
565,TIC 165346162,0
566,TIC 317597583,1
567,TIC 165346202,0
568,TIC 352682207,1
569,TIC 165346579,0
570,TIC 356786657,1
571,TIC 165346650,0
572,TIC 165346715,0
573,TIC 363761216,1
574,TIC 165346952,0
575,TIC 364074068,1
576,TIC 165347456,0
577,TIC 364075352,1
578,TIC 165405954,0
579,TIC 367739494,1
580,TIC 165407724,0
581,TIC 367913453,1
582,TIC 368734712,1
583,TIC 165410854,0
584,TIC 165453878,0
585,TIC 373017793,1
586,TIC 165466021,0
587,TIC 387259626,1
588,TIC 165469121,0
589,TIC 387260717,1
590,TIC 165469193,0
591,TIC 1551345500,1
592,TIC 165469986,0
593,TIC 165470063,0
594,TIC 61098812,1
595,TIC 165470230,0
596,TIC 138126035,1
597,TIC 165731518,0
598,TIC 219742885,1
599,TIC 165731685,0
600,TIC 229671380,1
601,TIC 165732427,0
602,TIC 232982558,1
603,TIC 233680651,1
604,TIC 165734174,0
605,TIC 165917329,0
606,TIC 165917400,0
607,TIC 165917559,0
608,TIC 417705690,1
609,TIC 165943116,0
610,TIC 420177051,1
611,TIC 165943267,0
612,TIC 420680343,1
613,TIC 165945176,0
614,TIC 422756130,1
615,TIC 165946761,0
616,TIC 427320001,1
617,TIC 165978414,0
618,TIC 461591646,1
619,TIC 198102062,0
620,TIC 198102067,0
621,TIC 21832928,1
622,TIC 198105121,0
623,TIC 101721385,1
624,TIC 198105449,0
625,TIC 198105453,0
626,TIC 116264089,1
627,TIC 198105523,0
628,TIC 159742538,1
629,TIC 198107019,0
630,TIC 198107076,0
631,TIC 198178505,1
632,TIC 198285254,0
633,TIC 219501568,1
634,TIC 198285322,0
635,TIC 219508169,1
636,TIC 198285529,0
637,TIC 232603560,1
638,TIC 198285884,0
639,TIC 274599700,1
640,TIC 198286462,0
641,TIC 287139872,1
642,TIC 198286716,0
643,TIC 397058826,1
644,TIC 198286744,0
645,TIC 422217860,1
646,TIC 198483276,0
647,TIC 311408969,1
648,TIC 198483347,0
649,TIC 345645749,1
650,TIC 198483749,0
651,TIC 236387002,1
652,TIC 198483994,0
653,TIC 356916207,1
654,TIC 198484699,0
655,TIC 392476080,1
656,TIC 198484884,0
657,TIC 424435940,1
658,TIC 198484938,0
659,TIC 462615350,1
660,TIC 198485277,0
661,TIC 356235833,1
662,TIC 198485325,0
663,TIC 39200363,1
664,TIC 39516274,1
665,TIC 43429656,1
666,TIC 199459270,0
667,TIC 199459337,0
668,TIC 105840719,1
669,TIC 199459496,0
670,TIC 158916431,1
671,TIC 199459559,0
672,TIC 165527918,1
673,TIC 198360694,1
674,TIC 207425203,1
675,TIC 219821826,1
676,TIC 233120979,1
677,TIC 233684822,1
678,TIC 321668398,1
679,TIC 199460854,0
680,TIC 335952150,1
681,TIC 341815197,1
682,TIC 199480953,0
683,TIC 356311210,1
684,TIC 207362974,0
685,TIC 207363233,0
686,TIC 207363254,0
687,TIC 459969957,1
688,TIC 219026654,0
689,TIC 158075010,1
690,TIC 219028960,0
691,TIC 229398838,0
692,TIC 229400344,0
693,TIC 408618999,1
694,TIC 229400552,0
695,TIC 264295655,1
696,TIC 367102581,1
697,TIC 229402137,0
698,TIC 461538935,1
699,TIC 229404121,0
700,TIC 467331291,1
701,TIC 229406415,0
702,TIC 470127886,1
703,TIC 229405342,0
704,TIC 229409655,0
705,TIC 256722647,1
706,TIC 229411323,0
707,TIC 280254984,1
708,TIC 367287018,1
709,TIC 229412511,0
710,TIC 229436791,0
711,TIC 229436921,0
712,TIC 229438448,0
713,TIC 229438906,0
714,TIC 229441400,0
715,TIC 264544388,1
716,TIC 264678534,1
717,TIC 229443755,0
718,TIC 279212407,1
719,TIC 229444326,0
720,TIC 229446477,0
721,TIC 398371628,1
722,TIC 229447073,0
723,TIC 229448538,0
724,TIC 237104103,1
725,TIC 229451118,0
726,TIC 289539327,1
727,TIC 229452839,0
728,TIC 404505029,1
729,TIC 229452961,0
730,TIC 441765914,1
731,TIC 441804533,1
732,TIC 229454246,0
733,TIC 459970307,1
734,TIC 229455920,0
735,TIC 274974693,1
736,TIC 229455944,0
737,TIC 347538174,1
738,TIC 229459070,0
739,TIC 123357034,1
740,TIC 154741689,1
741,TIC 229464446,0
742,TIC 154867950,1
743,TIC 229456081,0
744,TIC 154940895,1
745,TIC 229465075,0
746,TIC 43276438,1
747,TIC 229465428,0
748,TIC 57159675,1
749,TIC 229472112,0
750,TIC 229479753,0
751,TIC 229480400,0
752,TIC 115182469,1
753,TIC 229480555,0
754,TIC 71268730,1
755,TIC 229481183,0
756,TIC 71347873,1
757,TIC 229481553,0
758,TIC 198610218,1
759,TIC 229482563,0
760,TIC 229490055,0
761,TIC 103195323,1
762,TIC 3801639,0
763,TIC 103448870,1
764,TIC 1121536,0
765,TIC 199712572,1
766,TIC 1126075,0
767,TIC 1121229,0
768,TIC 235943205,1
769,TIC 1125234,0
770,TIC 142748283,1
771,TIC 9828416,1
772,TIC 229498188,0
773,TIC 230267547,1
774,TIC 229500377,0
775,TIC 229500837,0
776,TIC 154437244,1
777,TIC 229501076,0
778,TIC 288132261,1
779,TIC 229502129,0
780,TIC 198456933,1
781,TIC 229507871,0
782,TIC 207339000,1
783,TIC 229508304,0
784,TIC 259129875,1
785,TIC 259233660,1
786,TIC 264303333,1
787,TIC 229750058,1
788,TIC 3801978,0
789,TIC 229791084,1
790,TIC 3802280,0
791,TIC 257060897,1
792,TIC 3802298,0
793,TIC 233529335,1
794,TIC 3802286,0
795,TIC 258389327,1
796,TIC 229508831,0
797,TIC 272670038,1
798,TIC 229509454,0
799,TIC 233633993,1
800,TIC 229509761,0
801,TIC 335655755,1
802,TIC 229510147,0
803,TIC 229511748,0
804,TIC 3802453,0
805,TIC 120255950,1
806,TIC 120317234,1
807,TIC 3804010,0
808,TIC 3806888,0
809,TIC 313006381,1
810,TIC 3807120,0
811,TIC 372758077,1
812,TIC 3807351,0
813,TIC 373017346,1
814,TIC 394050135,1
815,TIC 3808345,0
816,TIC 3808433,0
817,TIC 420268415,1
818,TIC 3808886,0
819,TIC 367630162,1
820,TIC 3808984,0
821,TIC 8516795,1
822,TIC 3809256,0
823,TIC 470171739,1
824,TIC 3812264,0
825,TIC 198588220,1
826,TIC 3812476,0
827,TIC 396562848,1
828,TIC 3812730,0
829,TIC 400103802,1
830,TIC 3812756,0
831,TIC 88992642,1
832,TIC 3812921,0
833,TIC 3812984,0
834,TIC 120757718,1
835,TIC 3813653,0
836,TIC 120826158,1
837,TIC 3813979,0
838,TIC 154923406,1
839,TIC 3814454,0
840,TIC 154927364,1
841,TIC 3814526,0
842,TIC 157586003,1
843,TIC 3817491,0
844,TIC 158002130,1
845,TIC 159244568,1
846,TIC 3817821,0
847,TIC 159400561,1
848,TIC 3818065,0
849,TIC 160268701,1
850,TIC 3818137,0
851,TIC 417646390,1
852,TIC 418343229,1
853,TIC 3819392,0
854,TIC 428787891,1
855,TIC 3852888,0
856,TIC 233047097,1
857,TIC 441572821,1
858,TIC 3853645,0
859,TIC 441600335,1
860,TIC 3890627,0
861,TIC 456306892,1
862,TIC 3890629,0
863,TIC 459837008,1
864,TIC 3890480,0
865,TIC 284450803,1
866,TIC 284477310,1
867,TIC 3895637,0
868,TIC 3896719,0
869,TIC 342642208,1
870,TIC 3897360,0
871,TIC 264223828,1
872,TIC 3897433,0
873,TIC 268334473,1
874,TIC 268403451,1
875,TIC 284454822,1
876,TIC 288185138,1
877,TIC 3902219,0
878,TIC 383721338,1
879,TIC 3902250,0
880,TIC 14722048,0
881,TIC 320798691,1
882,TIC 14722140,0
883,TIC 328933398,1
884,TIC 14722567,0
885,TIC 23229805,1
886,TIC 23389848,1
887,TIC 14722713,0
888,TIC 14722732,0
889,TIC 348054109,1
890,TIC 14723370,0
891,TIC 358516596,1
892,TIC 14724388,0
893,TIC 48448369,1
894,TIC 14726370,0
895,TIC 14743888,0
896,TIC 160045097,1
897,TIC 14744410,0
898,TIC 14773635,0
899,TIC 14773733,0
900,TIC 14774799,0
901,TIC 14775954,0
902,TIC 14776494,0
903,TIC 75878355,1
904,TIC 14776692,0
905,TIC 267572272,1
906,TIC 14776800,0
907,TIC 299158887,1
908,TIC 14777221,0
909,TIC 14776551,0
910,TIC 321669174,1
911,TIC 14779235,0
912,TIC 350814622,1
913,TIC 14779670,0
914,TIC 377780790,1
915,TIC 14780365,0
916,TIC 399954349,1
917,TIC 14780644,0
918,TIC 219489550,1
919,TIC 14781149,0
920,TIC 14781604,0
921,TIC 462553953,1
922,TIC 14823623,0
923,TIC 219751469,1
924,TIC 14823787,0
925,TIC 272782321,1
926,TIC 14823964,0
927,TIC 14824171,0
928,TIC 14824795,0
929,TIC 14825165,0
930,TIC 27848472,1
931,TIC 14825284,0
932,TIC 7548817,1
933,TIC 14826027,0
934,TIC 14826051,0
935,TIC 88996391,1
936,TIC 14826186,0
937,TIC 116048097,1
938,TIC 14854553,0
939,TIC 116242971,1
940,TIC 14854618,0
941,TIC 27769688,1
942,TIC 67400529,0
943,TIC 28230919,1
944,TIC 67401662,0
945,TIC 48018596,1
946,TIC 67402508,0
947,TIC 67402596,0
948,TIC 67443458,0
949,TIC 67444015,0
950,TIC 48506505,1
951,TIC 67444478,0
952,TIC 67444574,0
953,TIC 229400092,1
954,TIC 67445095,0
955,TIC 30254887,1
956,TIC 67445097,0
957,TIC 73560357,1
958,TIC 67445533,0
959,TIC 67457852,0
960,TIC 67458178,0
961,TIC 92783821,1
962,TIC 67458953,0
963,TIC 67459019,0
964,TIC 102734241,1
965,TIC 67459023,0
966,TIC 67459903,0
967,TIC 67460351,0
968,TIC 67473547,0
969,TIC 67474104,0
970,TIC 67474119,0
971,TIC 48031665,1
972,TIC 67474408,0
973,TIC 158170594,1
974,TIC 67475780,0
975,TIC 48353358,1
976,TIC 67476152,0
977,TIC 67502817,0
978,TIC 123357864,1
979,TIC 67503314,0
980,TIC 158324245,1
981,TIC 67503422,0
982,TIC 67503569,0
983,TIC 67504290,0
984,TIC 67505140,0
985,TIC 158555987,1
986,TIC 67505239,0
987,TIC 67505181,0
988,TIC 67505252,0
989,TIC 158657354,1
990,TIC 67505563,0
991,TIC 67512309,0
992,TIC 164652245,1
993,TIC 67513725,0
994,TIC 67513827,0
995,TIC 399860444,1
996,TIC 67513968,0
997,TIC 67514180,0
998,TIC 229715760,1
999,TIC 67543806,0
1000,TIC 229951289,1
1001,TIC 67514272,0
1002,TIC 67543866,0
1003,TIC 67544254,0
1004,TIC 186000935,1
1005,TIC 67544477,0
1006,TIC 67544478,0
1007,TIC 77037509,0
1008,TIC 77041231,0
1009,TIC 77041635,0
1010,TIC 375542276,1
1011,TIC 77041747,0
1012,TIC 77041919,0
1013,TIC 77041928,0
1014,TIC 77041929,0
1015,TIC 77041943,0
1016,TIC 77043323,0
1017,TIC 77069991,0
1018,TIC 278348461,1
1019,TIC 77071528,0
1020,TIC 77071592,0
1021,TIC 284564230,1
1022,TIC 77071867,0
1023,TIC 293880523,1
1024,TIC 77072821,0
1025,TIC 77108241,0
1026,TIC 336075472,1
1027,TIC 77108752,0
1028,TIC 336128819,1
1029,TIC 77108968,0
1030,TIC 77109256,0
1031,TIC 352239069,1
1032,TIC 77113143,0
1033,TIC 77113678,0
1034,TIC 77113680,0
1035,TIC 400476523,1
1036,TIC 77113694,0
1037,TIC 405763009,1
1038,TIC 77113773,0
1039,TIC 421308357,1
1040,TIC 77114296,0
1041,TIC 30329585,1
1042,TIC 69997672,1
1043,TIC 77126987,0
1044,TIC 77127262,0
1045,TIC 90504905,1
1046,TIC 77127817,0
1047,TIC 77128063,0
1048,TIC 121731834,1
1049,TIC 77128574,0
1050,TIC 169461816,1
1051,TIC 77128654,0
1052,TIC 77139481,0
1053,TIC 198187049,1
1054,TIC 77146088,0
1055,TIC 230087765,1
1056,TIC 77147475,0
1057,TIC 273231214,1
1058,TIC 77172584,0
1059,TIC 280035202,1
1060,TIC 289164482,1
1061,TIC 77172923,0
1062,TIC 356871098,1
1063,TIC 77173017,0
1064,TIC 336267424,1
1065,TIC 82287002,0
1066,TIC 356158613,1
1067,TIC 82309091,0
1068,TIC 370907864,1
1069,TIC 82522551,0
1070,TIC 165412561,1
1071,TIC 82522655,0
1072,TIC 202425357,1
1073,TIC 82522698,0
1074,TIC 202504234,1
1075,TIC 82522898,0
1076,TIC 393911494,1
1077,TIC 82523956,0
1078,TIC 458478250,1
1079,TIC 82524299,0
1080,TIC 458481611,1
1081,TIC 82524347,0
1082,TIC 459978312,1
1083,TIC 82524566,0
1084,TIC 424865156,1
1085,TIC 82524685,0
1086,TIC 82524779,0
1087,TIC 82524851,0
1088,TIC 137151335,1
1089,TIC 82524933,0
1090,TIC 82524967,0
1091,TIC 82525365,0
1092,TIC 274762761,1
1093,TIC 82547497,0
1094,TIC 289316336,1
1095,TIC 82593168,0
1096,TIC 82594280,0
1097,TIC 13499636,1
1098,TIC 82594343,0
1099,TIC 247283596,1
1100,TIC 82594615,0
1101,TIC 82594985,0
1102,TIC 82596191,0
1103,TIC 417129824,1
1104,TIC 82596485,0
1105,TIC 82596793,0
1106,TIC 82598021,0
1107,TIC 137284119,1
1108,TIC 82604316,0
1109,TIC 82604360,0
1110,TIC 82605461,0
1111,TIC 276380902,1
1112,TIC 82605966,0
1113,TIC 82606361,0
1114,TIC 229516047,0
1115,TIC 229909839,0
1116,TIC 233951353,1
1117,TIC 229909568,0
1118,TIC 229910234,0
1119,TIC 229910746,0
1120,TIC 229913175,0
1121,TIC 229914087,0
1122,TIC 229914354,0
1123,TIC 229914575,0
1124,TIC 26547036,1
1125,TIC 229935496,0
1126,TIC 330468175,1
1127,TIC 229936276,0
1128,TIC 85267472,0
1129,TIC 128501004,1
1130,TIC 85267854,0
1131,TIC 85273759,0
1132,TIC 267561446,1
1133,TIC 85274041,0
1134,TIC 85273772,0
1135,TIC 160432093,1
1136,TIC 85274138,0
1137,TIC 162130054,1
1138,TIC 85274411,0
1139,TIC 85283043,0
1140,TIC 86133529,0
1141,TIC 87480403,0
1142,TIC 164150539,1
1143,TIC 87480677,0
1144,TIC 164173105,1
1145,TIC 87496673,0
1146,TIC 229937610,0
1147,TIC 229937160,0
1148,TIC 229937722,0
1149,TIC 237071229,1
1150,TIC 229941196,0
